20734_113.097867026,28.2286136855_202004_265.512
20984_113.104987232,28.2296130645_202004_259.866
20991_113.10488702,28.2295170895_202004_259.878
20992_113.10448253,28.2294606344_202004_260.037
20993_113.10407804,28.2294041792_202004_260.254
21046_113.105615598,28.2212986254_202004_249.499
21093_113.096795805,28.2140130245_201909_185.474
21097_113.096988731,28.215634605_201909_187.35
21098_113.097043398,28.2160393404_201909_187.181
21099_113.097098065,28.2164440759_201909_187.474
21100_113.097148556,28.2168493531_201909_187.156
21102_113.107167671,28.207559603_201707_159.682
21103_113.107321342,28.2071812055_201707_160.06
21106_113.106093266,28.2190867449_201908_358.735
21107_113.105192618,28.2212988547_201908_270.826
21108_113.104784236,28.2213037091_201908_270.327
21109_113.104375855,28.2213085636_201908_270.823
21110_113.103313385,28.2212344721_201908_90.682
21111_113.103721771,28.2212299446_201908_90.926
21113_113.104666358,28.2212195969_201908_94.44
21116_113.117553891,28.2176103301_201707_359.39
21118_113.117561223,28.2167935417_201707_359.246
21119_113.117564889,28.2163851475_201707_359.139
21132_113.117483164,28.215164033_201707_179.17
21135_113.117493853,28.2139388476_201707_179.761
21136_113.117448989,28.2189548941_201707_179.801
21140_113.117437863,28.220971405_201908_176.907
21142_113.11743359,28.2217882151_201908_181.544
21143_113.117540951,28.2189578982_202005_358.444
21148_113.116331334,28.2218730557_201908_76.946
21149_113.116708361,28.2220267617_201908_253.73
21151_113.111160344,28.2213304049_201603_88.302
21153_113.1100727,28.2213085111_201707_269.694
21156_113.108047182,28.221298447_201908_270.372
21158_113.1068076,28.2212860491_201908_270.262
21166_113.106192435,28.2296987963_202004_260.464
21167_113.106597208,28.2297531823_202004_260.81
21169_113.11748542,28.2291472825_201908_0.636
21171_113.117489494,28.2283304713_201908_359.931
21174_113.117495798,28.2271052556_201908_357.586
21175_113.11749808,28.2266968513_201908_0.084
21176_113.117500363,28.226288447_201908_1.388
21177_113.117502645,28.2258800427_201908_0.599
21179_113.11750721,28.2250632341_201908_0.059
21181_113.117512594,28.2241051919_201908_0.334
21183_113.117517189,28.2232883835_201908_0.3
21188_113.105971835,28.220124491_201908_179.615
21192_113.106163664,28.2165807556_201908_359.666
21193_113.106064694,28.2168712803_201908_179.603
21194_113.106187324,28.2157657751_201908_359.042
21215_113.097333546,28.2274797013_201909_181.668
21216_113.097343093,28.2270714023_201909_180.266
21225_113.097332289,28.2233958333_201909_180.065
21233_113.100713218,28.2213489865_201908_271.394
21240_113.09717085,28.2160709291_201909_7.275
21241_113.097225474,28.216475667_201909_6.948
21356_113.113143629,28.221286375_201707_84.144
21357_113.115919478,28.2217806716_201908_75.476
21359_113.115122434,28.2216020151_201908_76.072
21360_113.114362059,28.2214336123_201908_80.708
21363_113.113985667,28.2214510184_201908_262.66
21365_113.11514051,28.2216903785_201908_255.765
21366_113.115539021,28.2217797569_201908_255.126
21414_113.105836093,28.2271921348_202004_178.389
21415_113.105849461,28.226783943_202004_178.145
21417_113.105877388,28.2259318089_202004_358.145
21418_113.105890775,28.2255236177_202004_358.328
21419_113.105904163,28.2251154265_202004_358.163
21422_113.105944325,28.2238908529_202004_358.625
21423_113.105957712,28.2234826617_202004_358.141
21425_113.105984487,28.2226662793_202004_358.499
21427_113.106011262,28.2218498969_202004_355.253
21430_113.105709702,28.2284048444_202004_178.404
21431_113.105716789,28.2279965154_202004_178.119
21432_113.105730418,28.2275883322_202004_178.738
21433_113.105744047,28.227180149_202004_178.389
21434_113.105757677,28.2267719658_202004_178.145
21435_113.105771306,28.2263637826_202004_178.195
21436_113.105785403,28.2259348095_202004_177.932
21437_113.105798805,28.2255266188_202004_178.807
21438_113.105812208,28.2251184281_202004_178.184
21439_113.105825611,28.2247102374_202004_178.476
21441_113.105852416,28.2238938561_202004_178.49
21442_113.105865819,28.2234856654_202004_178.283
21443_113.105879222,28.2230774747_202004_178.439
21444_113.105892625,28.222669284_202004_178.681
21447_113.107254006,28.207587739_201707_339.903
21448_113.107408013,28.2072094781_201707_340.131
21449_113.107561613,28.2068310583_201707_340.112
21453_113.109251854,28.2068449031_201707_262.391
21456_113.110468245,28.2069918301_201707_262.386
21459_113.111683399,28.2071476713_201707_259.95
21460_113.112086895,28.2072108413_201707_259.718
21461_113.112490391,28.2072740112_201707_260.205
21468_113.1153204,28.2076779143_201707_260.638
21485_113.10846196,28.206668683_201707_262.946
21486_113.108867439,28.2067175244_201707_82.144
21487_113.109272919,28.2067663657_201707_82.809
21488_113.109678399,28.2068152071_201707_82.133
21489_113.110083878,28.2068640484_201707_83.212
21492_113.111300318,28.2070105724_201707_260.611
21493_113.111704524,28.207068612_201707_80.257
21500_113.114531835,28.2074911834_201707_260.684
21502_113.115341533,28.2075988284_201707_260.638
21520_113.117181471,28.2079247135_201707_260.703
21523_113.106145245,28.2136793207_201707_179.534
21527_113.106175734,28.2120459626_201707_179.694
21528_113.106181273,28.2116375934_201707_178.849
21529_113.106187105,28.2112292253_201707_178.307
21530_113.106193351,28.2108208624_201707_175.818
21531_113.106224844,28.2104139498_201707_172.881
21532_113.106289255,28.2100112977_201707_169.127
21534_113.106507988,28.209224891_201707_164.169
21538_113.106227701,28.2141166622_201707_359.174
21539_113.106235403,28.2137083241_201707_359.471
21540_113.106243105,28.2132999861_201707_358.949
21542_113.106258508,28.21248331_201707_359.429
21543_113.10626621,28.2120749719_201707_359.026
21547_113.106314751,28.2104428915_201707_352.904
21548_113.106376813,28.2100398179_201707_169.127
21550_113.106594483,28.2092531972_201707_342.681
21551_113.106732357,28.2088692108_201707_340.771
21559_113.119719971,28.2079924999_201409_90.015
21562_113.120945141,28.2079866106_201409_89.816
21563_113.121353551,28.2079864487_201409_90.077
21565_113.122170373,28.2079861249_201409_89.14
21566_113.122578783,28.207985963_201409_89.375
21569_113.123804015,28.2079854772_201409_89.127
21571_113.124620836,28.2079851534_201409_90.158
21581_113.117698226,28.2098421141_201707_352.284
21582_113.117758521,28.2094383266_201707_348.701
21585_113.115980854,28.2076837818_201707_261.318
21586_113.116385708,28.207737564_201707_80.023
21588_113.117195416,28.2078451282_201707_82.776
21595_113.119710934,28.2080747364_201603_268.998
21598_113.120936122,28.2080690365_201603_269.372
21599_113.121344532,28.2080686317_201603_269.374
21601_113.122161353,28.2080678219_201603_269.781
21603_113.122978174,28.2080670122_201603_269.358
21604_113.123386584,28.2080666073_201603_269.248
21605_113.123794995,28.2080662025_201409_89.405
21606_113.124203405,28.2080657976_201409_88.992
21609_113.087752296,28.2213467212_201908_272.849
21612_113.088976751,28.2213030808_201908_273.217
21617_113.087340152,28.2212804685_201908_93.599
21619_113.088156454,28.2212513535_201908_92.53
21621_113.088972756,28.2212222173_201908_93.519
21623_113.089789057,28.2211930812_201908_92.496
21624_113.090197208,28.2211785131_201908_92.806
21625_113.090605359,28.221163945_201908_92.428
21632_113.107305789,28.2298482663_202004_80.793
21633_113.107710579,28.2299025324_202004_80.845
21634_113.108115368,28.2299567986_202004_80.64
21636_113.091701145,28.2281147034_202004_85.525
21641_113.090105298,28.2281122487_202004_266.398
21642_113.089697448,28.2280908665_202004_267.129
21644_113.088881747,28.228048102_202004_267.131
21645_113.088473896,28.2280267198_202004_267.152
21646_113.088066046,28.2280053376_202004_263.054
21647_113.087658195,28.2279839554_202004_266.05
21649_113.087132846,28.2283643348_201909_4.113
21652_113.087157965,28.2295893093_201909_1.253
21653_113.087166338,28.2299976341_201909_1.955
21656_113.087070879,28.2283613576_201909_181.919
21657_113.087079238,28.2287696828_201909_181.644
21658_113.087087597,28.2291780079_201909_182.384
21659_113.087095955,28.229586333_201909_180.96
21663_113.086657123,28.2279321339_202004_86.544
21665_113.085841383,28.2278901129_202004_266.844
21666_113.085433458,28.2278707703_202004_266.674
21667_113.085025189,28.2278600038_202004_267.064
21668_113.08461692,28.2278492373_202004_265.889
21674_113.088725453,28.2279584778_202004_86.615
21675_113.089133303,28.2279798728_202004_87.087
21676_113.089541153,28.2280012678_202004_87.535
21678_113.090356853,28.2280440578_202004_90.544
21679_113.090764701,28.2280654889_202004_87.809
21681_113.086204283,28.2278275458_202004_92.747
21682_113.085796412,28.2278065695_202004_86.685
21683_113.085388392,28.2277892876_202004_87.04
21684_113.084980146,28.2277776849_202004_87.142
21687_113.083755408,28.2277428767_202004_86.34
21688_113.092512864,28.2282391254_202004_266.958
21689_113.092920728,28.2282602505_202004_266.827
21690_113.093328592,28.2282813756_202004_266.397
21695_113.095367912,28.228387001_202004_266.355
21696_113.095775776,28.2284081261_202004_266.306
21697_113.09618364,28.2284292511_202004_266.035
21702_113.096103843,28.2283435017_202004_266.035
21703_113.095695982,28.2283223165_202004_266.303
21707_113.094064538,28.2282375755_202004_87.323
21710_113.092840956,28.2281740197_202004_86.727
21716_113.097335328,28.2222353837_201909_180.27
21717_113.097332268,28.2226437826_201909_180.496
21721_113.099101357,28.2213465917_201908_271.231
21723_113.099918074,28.2213583708_201908_271.423
21724_113.10032645,28.221353028_201908_270.711
21727_113.098948344,28.2212623687_201908_271.39
21728_113.099356688,28.2212697371_201908_271.439
21731_113.097379923,28.2177243475_201909_8.19
21732_113.097429846,28.2181296954_201603_135.626
21734_113.09749606,28.2189434644_201909_3.892
21736_113.09749537,28.2197597445_201909_359.028
21737_113.09748609,28.2201680498_201909_358.529
21739_113.097257199,28.2177313137_201909_186.196
21740_113.097307399,28.2181366275_201909_187.29
21742_113.097374276,28.2189503404_201909_184.652
21744_113.097372776,28.2197666108_201909_180.156
21745_113.097363186,28.2201749088_201909_177.725
22150_113.079677735,28.2281723213_201909_2.159
22188_113.083422355,28.2277357497_202004_86.437
22192_113.080869658,28.2276863543_202004_86.598
22193_113.081277987,28.227694475_202004_87.166
22195_113.082094647,28.2277107165_202004_86.865
22196_113.082502977,28.2277188372_202004_86.651
22197_113.082911307,28.227726958_202004_86.843
22245_113.079554933,28.2282042994_202004_180.555
22246_113.079661373,28.2269676056_201909_0.918
22247_113.079658762,28.2265592041_201909_181.235
22348_113.080872653,28.2277676101_202004_268.527
22349_113.081280979,28.2277759149_202004_267.314
22350_113.081689305,28.2277842197_202004_265.822
22351_113.082097631,28.2277925245_202004_267.286
22352_113.082505957,28.2278008294_202004_266.516
22354_113.083414356,28.2278177052_202004_266.192
22384_113.079586348,28.229946661_201909_181.185
22386_113.079571043,28.2291299831_201909_180.275
22591_113.07953738,28.2269666055_202004_179.013
22592_113.079534051,28.2265582085_201909_181.235
22596_113.079521358,28.2249246152_201909_181.048
22598_113.079513913,28.2241078277_201909_182.026
22599_113.079654221,28.2259946071_201909_0.577
22600_113.079650442,28.2255862139_201909_0.932
22603_113.079638578,28.2243610394_201909_1.434
22675_113.078767045,28.2277017182_202004_266.28
22677_113.077951134,28.2276631548_202004_267.145
22678_113.077543179,28.2276438731_202004_266.536
22679_113.077135224,28.2276245914_202004_266.723
22681_113.076319313,28.227586028_202004_266.661
22684_113.075029402,28.2275152706_202004_265.684
22685_113.074621742,28.2274905124_202004_266.893
22686_113.074214083,28.2274657542_202004_266.559
22688_113.073398764,28.2274162378_202004_266.979
22693_113.074614465,28.2274094879_202004_266.893
22700_113.078767098,28.2276206223_202004_266.28
22701_113.078359196,28.2276002448_202004_266.583
22703_113.077543392,28.2275594897_202004_266.536
22706_113.076319686,28.2274983571_202004_266.661
22707_113.075911784,28.2274779796_202004_266.926
23542_113.073734063,28.2218742238_201908_273.472
23543_113.074142215,28.2218596842_201908_271.962
23544_113.074550366,28.2218451447_201908_272.774
23551_113.073320933,28.221808393_201908_93.242
23553_113.074137244,28.221779524_201908_92.135
23578_113.083869074,28.2214194228_201908_91.958
23582_113.08550137,28.2213531155_201908_93.573
23583_113.085909444,28.2213365387_201908_92.591
23587_113.07950563,28.2231813947_201909_181.14
23588_113.07950926,28.2235897893_201909_180.769
23591_113.076458439,28.2217769259_201908_272.876
23592_113.076866585,28.2217622344_201908_274.429
23595_113.078236459,28.2217134796_201908_272.592
23596_113.078644612,28.2216989727_201908_272.804
23599_113.079373882,28.2213500442_201707_137.581
23602_113.08040811,28.2215533174_201908_94.91
23603_113.080816219,28.2215376344_201908_93.111
23609_113.083264876,28.2214435364_201908_92.662
23644_113.078702287,28.2066876991_201908_184.936
23647_113.078737349,28.2079123319_201908_180.518
23715_113.078679174,28.2112515669_201908_179.939
23716_113.078691761,28.2108433502_201908_179.828
23717_113.078704348,28.2104351336_201908_179.52
23718_113.078717928,28.2100269488_201908_179.051
23719_113.078731561,28.2096187657_201908_179.207
23720_113.078739921,28.2092104711_201908_179.474
23734_113.079251027,28.217818658_201909_7.226
23735_113.079188234,28.2174151034_201909_7.485
23737_113.079062649,28.2166079942_201909_8.172
23738_113.079449874,28.2207888699_201707_184.558
23746_113.079063277,28.2175501411_201909_7.33
23747_113.078997929,28.2171469925_201909_187.917
273783_112.987791737,28.1555095429_202006_287.239
273785_112.986992765,28.1556359278_202006_289.987
273786_112.986607022,28.1555042581_201707_269.053
273929_113.017290101,28.1510385128_201908_254.39
273930_113.017678589,28.151164505_201908_253.059
273931_113.018068116,28.1512872554_201908_255.729
273934_113.015670156,28.1501494952_201908_257.627
284362_113.045816646,28.1586074639_201908_349.25
284363_113.045910393,28.1582099581_201908_350.481
284365_113.046093074,28.157413851_201908_350.039
284367_113.046268187,28.1566160212_201908_350.637
284368_113.046355744,28.1562171063_201908_351.245
284506_113.047201856,28.1507979046_201908_355.688
284507_113.047151333,28.1512031782_201908_356.878
284508_113.04710081,28.1516084518_201908_84.314
284509_113.047036239,28.1520115614_201908_355.46
284510_113.046962455,28.1524132518_201908_356.268
284511_113.046902977,28.1528158012_201908_355.662
284512_113.046833194,28.1532182061_201908_355.983
284513_113.046763412,28.1536206109_201908_354.99
284518_113.046345751,28.1556190704_201908_351.454
284677_113.046018204,28.1583961729_201908_349.425
284678_113.045867687,28.1587751607_201908_349.636
284680_113.046199364,28.1579630827_201908_350.682
284918_113.046518709,28.1554995089_201908_350.714
284923_113.046926037,28.1534992077_201908_355.225
284927_113.047194847,28.151887844_201908_265.733
284928_113.047250779,28.1514833189_201908_84.788
28664_112.945009924,28.155417928_201908_261.719
28665_112.945414245,28.1554755827_201908_261.852
28906_112.946244211,28.1570116126_201908_198.929
28907_112.946111934,28.156625425_201908_194.842
29058_112.946408785,28.1569691253_201908_18.48
29059_112.946271253,28.1565849417_201908_15.377
29060_112.946175562,28.1561879698_201908_11.323
29061_112.94609565,28.1557875859_201707_53.022
29157_112.94568597,28.1553949057_201908_83.138
29923_112.945841924,28.1550107991_201908_182.402
29924_112.945828849,28.1546025978_201908_181.146
29927_112.945993078,28.153855687_201908_2.563
29929_112.94596891,28.1530392435_201707_358.295
29932_112.945885909,28.1518171793_201908_3.74
29933_112.945843143,28.1514110139_201908_5.597
29934_112.945800377,28.1510048485_201707_187.061
29984_112.945812493,28.1538296778_201908_181.883
29987_112.945779081,28.1526050104_201908_184.181
29990_112.945672947,28.1513846113_201908_184.609
30068_112.992273429,28.1517197876_202006_65.381
30070_112.989764968,28.1508468271_201908_272.825
30071_112.989357572,28.1508755934_201908_273.991
30072_112.988953205,28.1509232246_201908_283.37
30074_112.988540836,28.1515199476_201908_340.759
30075_112.988433098,28.151913132_201908_351.891
30077_112.988400075,28.1527283519_201908_359.993
30079_112.988246334,28.151267628_201908_255.679
30082_112.988071843,28.1519245382_201908_187.468
30083_112.988081805,28.1523326285_201908_181.658
30084_112.988084241,28.1527410319_202006_178.621
30085_112.988104459,28.1531474682_202006_199.108
30086_112.987559344,28.1506924759_201908_244.899
30087_112.987163991,28.1505922736_201908_257.497
30088_112.986765073,28.1505047284_201908_256.589
30089_112.986367274,28.1504129137_202006_255.672
30090_112.985977979,28.1502896758_201908_251.274
30091_112.985593207,28.1501527463_201908_248.351
30094_112.989558785,28.1500781922_201908_237.27
30095_112.989569585,28.1504284153_201908_113.602
30098_112.991493004,28.151658094_202006_253.4
30099_112.991113549,28.1515111454_202006_234.274
30100_112.990794555,28.1512591263_202006_222.473
30101_112.990491791,28.1509866019_202006_238.796
30103_112.989462537,28.1507596236_201908_271.057
30104_112.989870195,28.1507350169_201908_271.99
30107_112.990935768,28.1512331358_202006_44.245
30108_112.991268812,28.1514655805_202006_59.645
30150_112.998619832,28.1535807238_201908_251.661
30153_112.999032006,28.1536496207_201908_68.867
30207_112.981683995,28.1571058177_201908_67.212
30216_112.988189763,28.1528691748_201908_181.597
30220_112.988224172,28.1512360521_201908_255.679
30221_112.988240258,28.1508279585_201707_177.951
30225_112.988112233,28.1503336886_201908_164.472
30226_112.987849461,28.1509168074_201909_210.7
30234_112.985784711,28.150050346_201908_71.015
30238_112.997958911,28.1516388671_202006_69.047
30240_112.997180733,28.1513906014_202006_73.074
30245_112.99523834,28.1507605375_201908_70.759
30249_112.993481722,28.1502535929_202006_78.643
30250_112.993077232,28.1502011403_202006_91.21
30270_112.999577275,28.1595165699_201908_147.446
30366_112.997826748,28.1532512742_201908_69.313
30371_112.995871503,28.152663787_201908_77.091
30372_112.996102521,28.152801604_201908_253.69
30373_112.996496163,28.1529103891_201908_251.775
30374_112.996888906,28.1530224275_201908_71.081
30375_112.997278033,28.1531463334_201908_252.755
30376_112.997666532,28.1532722994_201908_247.555
30377_112.998055032,28.1533982655_201908_250.827
30379_112.99305837,28.1520108385_202006_74.784
30380_112.993454039,28.1521120563_202006_74.463
30381_112.993849708,28.152213274_202006_255.512
30382_112.994245378,28.1523144918_202006_252.964
30383_112.994641047,28.1524157096_202006_76.118
30387_112.99134082,28.158514772_202006_89.408
30390_112.992566049,28.1585174299_202006_88.998
30391_112.992974458,28.1585183158_202006_91.004
30394_112.993277997,28.1572938271_201908_177.258
30420_112.990456408,28.1506062738_201908_277.403
30423_112.999685343,28.1596100382_201908_329.341
30434_112.97958749,28.1520772244_202005_177.817
30449_112.99092441,28.1586502616_202006_270.277
30451_112.99174123,28.1586487844_202006_269.587
30453_112.99255805,28.1586473073_202006_269.848
30562_112.993441842,28.1503994488_201908_259.609
30564_112.992627806,28.1503558394_201908_274.721
30575_112.995185372,28.1509048319_201908_249.887
30576_112.994796703,28.1507793896_201908_250.871
30610_112.988296161,28.1516848333_201908_0.495
30642_112.9933785,28.1577211914_201908_177.507
30704_112.994645806,28.1544398623_201908_148.949
30705_112.99436587,28.154735964_201908_315.935
30709_112.988817929,28.1577017609_202006_5.245
30712_112.988548023,28.1578157524_202006_184.669
30713_112.988506045,28.1574095048_202006_188.098
30714_112.988421145,28.1569502747_202006_188.509
30718_112.984564297,28.1580174545_202006_70.156
30723_112.982255443,28.1572688868_202006_71.212
30724_112.993811929,28.1551137237_201908_139.869
30725_112.993560992,28.1554354303_201908_150.703
30726_112.993386978,28.1558034806_201908_161.875
30727_112.993278415,28.1565304998_201908_181.043
30730_112.993651002,28.1554776015_201908_150.703
30733_112.993375329,28.1569412905_201908_184.603
30787_112.978707368,28.1587203131_201908_348.575
30788_112.978907993,28.1580044016_201908_348.385
30789_112.979016985,28.1576108029_201908_347.563
30790_112.979125978,28.1572172043_201908_347.779
30796_112.979007301,28.1571798255_201908_167.437
30816_112.979643961,28.1552541743_201908_350.488
30817_112.979544151,28.1556501388_201908_346.916
30820_112.979518465,28.1552366789_201908_169.0
30821_112.979416141,28.1556320637_201908_168.065
30824_112.986570058,28.1583662176_202006_86.33
30825_112.986977116,28.1583994353_202006_84.681
30829_112.990206401,28.1586488441_202006_273.628
30946_112.957823991,28.1584740731_201908_19.695
30947_112.957682188,28.1580910705_201908_20.075
30955_112.956452839,28.1550673952_201908_25.581
30956_112.956277387,28.154698599_201908_24.609
31196_112.967847476,28.1524846601_201908_176.253
31200_112.967287362,28.1500702942_201908_26.504
31216_112.957680476,28.1585020245_201908_199.808
31217_112.957537984,28.1581192897_201908_200.243
31218_112.957396584,28.1577361415_201908_201.189
31219_112.95725771,28.1573520672_201908_201.122
31220_112.957120485,28.1569674026_201908_200.809
31221_112.956982468,28.156583026_201908_202.214
31223_112.95665943,28.1558332722_201908_204.688
31224_112.956484574,28.1554641858_201908_205.664
31227_112.95597982,28.1543487489_201908_199.25
31229_112.955778283,28.153558736_201908_189.741
31231_112.955731419,28.152745135_201908_182.268
31414_112.966726574,28.1537467115_201908_147.024
31425_112.955784737,28.1515990035_201908_181.254
31426_112.955743847,28.151192649_201908_183.532
32620_112.999593734,28.1523072918_201908_250.335
32621_112.999206467,28.1521775841_201908_249.453
32623_112.99842917,28.1519268396_201908_251.08
32624_112.999594413,28.1521922801_201707_69.099
32627_112.998435955,28.1517933239_202006_70.572
32644_112.985745948,28.1584137097_202006_264.083
32645_112.98534178,28.1583573927_202006_258.338
32646_112.984948008,28.1582500433_202006_254.502
32647_112.984560514,28.1581210184_202006_252.37
32648_112.98417302,28.1579919935_202006_250.529
32652_112.982619099,28.1574878953_202006_250.724
32653_112.982215199,28.1573579693_202006_252.072
32665_112.979648094,28.1538687023_201908_183.15
32666_112.97965318,28.1544493946_201908_179.179
33282_112.988595101,28.1592828332_202006_181.318
33299_112.995235487,28.1524923627_202006_72.67
33303_112.993657438,28.1520698141_202006_74.695
33304_112.993262925,28.1519641769_202006_74.994
33305_112.992868413,28.1518585398_202006_70.892
33309_112.980456337,28.1569682912_201606_257.943
33472_112.966546121,28.1584702105_201908_179.687
33484_112.966502769,28.156902029_201908_12.174
33485_112.966427843,28.1565005605_201908_12.644
33486_112.966346448,28.1561003514_201908_11.812
33818_112.979748682,28.1520190017_201908_358.672
33819_112.979743831,28.152427295_201908_4.216
33823_112.979891403,28.1506606493_202005_168.028
34099_112.988016361,28.1584802577_202006_85.353
34101_112.986967356,28.1585104199_202006_265.042
34104_112.989457375,28.1586414524_202006_270.355
34105_112.989448409,28.1585169395_202006_87.32
34106_112.990218408,28.1585142841_202006_88.083
34107_112.988112382,28.1544346603_202006_180.873
34109_112.988399764,28.1544035903_201908_3.961
34111_112.988327515,28.1563883973_202006_188.062
34112_112.988265031,28.1559847948_202006_187.716
34113_112.98820053,28.1555815106_202006_185.78
34114_112.988132908,28.154967988_202006_182.149
34115_112.988567358,28.1563767453_202006_8.057
34117_112.988449878,28.1555690315_202006_5.786
34129_112.947483468,28.1593800947_201908_21.859
34130_112.947327961,28.1590025679_201908_21.885
34133_112.946829143,28.1578835368_201908_21.783
34173_112.947451939,28.1597825901_201908_199.1
34174_112.947304344,28.1594017817_201908_200.831
34175_112.947155192,28.1590216259_201908_203.284
34191_113.009199113,28.1586464392_201908_182.425
34198_113.010687667,28.1588199176_202006_62.18
34223_113.010653574,28.1590478985_202006_99.707
34259_113.005187522,28.1547753739_201908_50.856
34260_113.004570349,28.1543388884_201908_50.615
34262_113.003906299,28.1538634462_201908_55.189
34263_113.003564334,28.1536401541_201908_58.629
34264_113.003207846,28.1534412768_201908_62.589
34270_113.009064765,28.1589647681_202006_157.92
34271_113.009092687,28.1585613246_202006_183.767
34283_113.009198701,28.1595172235_202006_241.388
34371_113.039865106,28.1558202032_201908_37.1
34372_113.040178092,28.1560825749_201908_41.964
34373_113.040491101,28.1563449191_201908_37.602
34387_113.031852033,28.1595362644_201908_222.976
34388_113.032132943,28.1598306407_201908_211.836
34408_113.04455182,28.1546574213_201908_268.773
34411_113.044553799,28.1545589479_201908_89.451
34412_113.04496219,28.1545629458_201908_268.162
34413_113.04174541,28.1545496806_201908_88.096
34414_113.04215382,28.1545503613_201908_268.203
34416_113.04297064,28.1545517227_201908_88.076
34417_113.04337905,28.1545524034_201908_268.131
34420_113.042499936,28.159988513_201908_185.913
34436_113.037935024,28.153538153_201908_199.708
34437_113.038101467,28.1539110592_201908_203.874
34455_113.027661096,28.1528693918_201908_179.394
34458_113.027684575,28.1540943467_201908_180.369
34459_113.027708447,28.1548831185_201908_179.309
34462_113.027857704,28.1560939232_201908_194.467
34464_113.028208411,28.1568274903_201908_207.276
34471_113.030340309,28.1586705447_201908_234.027
34472_113.030683543,28.15889188_201908_234.07
34474_113.031370012,28.1593345508_201908_233.514
34631_113.028627785,28.15263101_201908_67.641
34637_113.026755323,28.1522424148_201908_82.47
34675_113.00908057,28.157630569_202006_43.676
34678_113.01002021,28.1584094054_202006_57.161
34680_113.010743879,28.1587880442_202006_62.18
34682_113.008100996,28.1569003553_201908_51.014
34683_113.007663601,28.1565665137_201908_50.19
34687_113.006347317,28.1555990703_201908_50.985
34688_113.023442134,28.1516467394_201908_61.233
34689_113.02381981,28.1518003498_201908_74.176
34690_113.022664025,28.1513583973_201908_239.722
34693_113.021578406,28.1507903977_201908_240.667
34954_113.01543417,28.159653591_202006_252.31
34956_113.01465112,28.1594212533_201606_68.128
34992_113.002787676,28.1533714982_201908_246.833
34994_113.003509645,28.1537510412_201908_239.737
34996_113.004187237,28.1542064981_201908_231.171
34997_113.004517776,28.1544463789_201908_231.138
34998_113.004847005,28.1546880562_201908_230.431
34999_113.005197533,28.1549405045_201908_230.869
35001_113.00586149,28.1554162754_201908_230.183
35003_113.006788276,28.1561149869_201908_231.563
35004_113.007111334,28.1563648522_201908_230.568
35009_113.010632772,28.1589785411_202006_99.707
35054_113.042313739,28.1588322777_201908_8.745
35079_113.024751446,28.1528321912_201908_346.374
35080_113.024886223,28.1524468524_201908_345.015
