20734_113.097867026,28.2286136855_202004_265.512
21603_113.122978174,28.2080670122_201603_269.358
21606_113.124203405,28.2080657976_201409_88.992
21609_113.087752296,28.2213467212_201908_272.849
21612_113.088976751,28.2213030808_201908_273.217
21617_113.087340152,28.2212804685_201908_93.599
21619_113.088156454,28.2212513535_201908_92.53
21621_113.088972756,28.2212222173_201908_93.519
21623_113.089789057,28.2211930812_201908_92.496
21624_113.090197208,28.2211785131_201908_92.806
21633_113.107710579,28.2299025324_202004_80.845
21634_113.108115368,28.2299567986_202004_80.64
21636_113.091701145,28.2281147034_202004_85.525
21642_113.089697448,28.2280908665_202004_267.129
21644_113.088881747,28.228048102_202004_267.131
21645_113.088473896,28.2280267198_202004_267.152
21646_113.088066046,28.2280053376_202004_263.054
21647_113.087658195,28.2279839554_202004_266.05
21649_113.087132846,28.2283643348_201909_4.113
21652_113.087157965,28.2295893093_201909_1.253
21653_113.087166338,28.2299976341_201909_1.955
21656_113.087070879,28.2283613576_201909_181.919
21657_113.087079238,28.2287696828_201909_181.644
21658_113.087087597,28.2291780079_201909_182.384
21659_113.087095955,28.229586333_201909_180.96
21663_113.086657123,28.2279321339_202004_86.544
21666_113.085433458,28.2278707703_202004_266.674
21668_113.08461692,28.2278492373_202004_265.889
21674_113.088725453,28.2279584778_202004_86.615
21675_113.089133303,28.2279798728_202004_87.087
21676_113.089541153,28.2280012678_202004_87.535
21678_113.090356853,28.2280440578_202004_90.544
21679_113.090764701,28.2280654889_202004_87.809
21681_113.086204283,28.2278275458_202004_92.747
21684_113.084980146,28.2277776849_202004_87.142
21687_113.083755408,28.2277428767_202004_86.34
21688_113.092512864,28.2282391254_202004_266.958
21689_113.092920728,28.2282602505_202004_266.827
21697_113.09618364,28.2284292511_202004_266.035
21702_113.096103843,28.2283435017_202004_266.035
21716_113.097335328,28.2222353837_201909_180.27
21717_113.097332268,28.2226437826_201909_180.496
21721_113.099101357,28.2213465917_201908_271.231
21723_113.099918074,28.2213583708_201908_271.423
21724_113.10032645,28.221353028_201908_270.711
21727_113.098948344,28.2212623687_201908_271.39
21728_113.099356688,28.2212697371_201908_271.439
21731_113.097379923,28.2177243475_201909_8.19
21734_113.09749606,28.2189434644_201909_3.892
21736_113.09749537,28.2197597445_201909_359.028
21737_113.09748609,28.2201680498_201909_358.529
21739_113.097257199,28.2177313137_201909_186.196
21740_113.097307399,28.2181366275_201909_187.29
21742_113.097374276,28.2189503404_201909_184.652
21744_113.097372776,28.2197666108_201909_180.156
21745_113.097363186,28.2201749088_201909_177.725
22188_113.083422355,28.2277357497_202004_86.437
22192_113.080869658,28.2276863543_202004_86.598
22193_113.081277987,28.227694475_202004_87.166
22195_113.082094647,28.2277107165_202004_86.865
22196_113.082502977,28.2277188372_202004_86.651
22197_113.082911307,28.227726958_202004_86.843
22245_113.079554933,28.2282042994_202004_180.555
22348_113.080872653,28.2277676101_202004_268.527
22349_113.081280979,28.2277759149_202004_267.314
22350_113.081689305,28.2277842197_202004_265.822
22351_113.082097631,28.2277925245_202004_267.286
22352_113.082505957,28.2278008294_202004_266.516
22384_113.079586348,28.229946661_201909_181.185
22386_113.079571043,28.2291299831_201909_180.275
22591_113.07953738,28.2269666055_202004_179.013
22592_113.079534051,28.2265582085_201909_181.235
22596_113.079521358,28.2249246152_201909_181.048
22598_113.079513913,28.2241078277_201909_182.026
22599_113.079654221,28.2259946071_201909_0.577
22600_113.079650442,28.2255862139_201909_0.932
22603_113.079638578,28.2243610394_201909_1.434
22677_113.077951134,28.2276631548_202004_267.145
22678_113.077543179,28.2276438731_202004_266.536
22679_113.077135224,28.2276245914_202004_266.723
22681_113.076319313,28.227586028_202004_266.661
22684_113.075029402,28.2275152706_202004_265.684
22685_113.074621742,28.2274905124_202004_266.893
22686_113.074214083,28.2274657542_202004_266.559
22688_113.073398764,28.2274162378_202004_266.979
22700_113.078767098,28.2276206223_202004_266.28
22701_113.078359196,28.2276002448_202004_266.583
22703_113.077543392,28.2275594897_202004_266.536
22706_113.076319686,28.2274983571_202004_266.661
22707_113.075911784,28.2274779796_202004_266.926
23544_113.074550366,28.2218451447_201908_272.774
23551_113.073320933,28.221808393_201908_93.242
23553_113.074137244,28.221779524_201908_92.135
23578_113.083869074,28.2214194228_201908_91.958
23583_113.085909444,28.2213365387_201908_92.591
23588_113.07950926,28.2235897893_201909_180.769
23591_113.076458439,28.2217769259_201908_272.876
23592_113.076866585,28.2217622344_201908_274.429
23595_113.078236459,28.2217134796_201908_272.592
23596_113.078644612,28.2216989727_201908_272.804
23599_113.079373882,28.2213500442_201707_137.581
23603_113.080816219,28.2215376344_201908_93.111
23609_113.083264876,28.2214435364_201908_92.662
23644_113.078702287,28.2066876991_201908_184.936
23715_113.078679174,28.2112515669_201908_179.939
23716_113.078691761,28.2108433502_201908_179.828
23717_113.078704348,28.2104351336_201908_179.52
23718_113.078717928,28.2100269488_201908_179.051
23734_113.079251027,28.217818658_201909_7.226
23735_113.079188234,28.2174151034_201909_7.485
23737_113.079062649,28.2166079942_201909_8.172
23746_113.079063277,28.2175501411_201909_7.33
23747_113.078997929,28.2171469925_201909_187.917
273783_112.987791737,28.1555095429_202006_287.239
273929_113.017290101,28.1510385128_201908_254.39
273930_113.017678589,28.151164505_201908_253.059
284363_113.045910393,28.1582099581_201908_350.481
284365_113.046093074,28.157413851_201908_350.039
284367_113.046268187,28.1566160212_201908_350.637
284368_113.046355744,28.1562171063_201908_351.245
284506_113.047201856,28.1507979046_201908_355.688
284507_113.047151333,28.1512031782_201908_356.878
284508_113.04710081,28.1516084518_201908_84.314
284509_113.047036239,28.1520115614_201908_355.46
284510_113.046962455,28.1524132518_201908_356.268
284513_113.046763412,28.1536206109_201908_354.99
284518_113.046345751,28.1556190704_201908_351.454
284678_113.045867687,28.1587751607_201908_349.636
284680_113.046199364,28.1579630827_201908_350.682
284918_113.046518709,28.1554995089_201908_350.714
284927_113.047194847,28.151887844_201908_265.733
284928_113.047250779,28.1514833189_201908_84.788
29058_112.946408785,28.1569691253_201908_18.48
29059_112.946271253,28.1565849417_201908_15.377
29060_112.946175562,28.1561879698_201908_11.323
29061_112.94609565,28.1557875859_201707_53.022
29157_112.94568597,28.1553949057_201908_83.138
29923_112.945841924,28.1550107991_201908_182.402
29924_112.945828849,28.1546025978_201908_181.146
29927_112.945993078,28.153855687_201908_2.563
29929_112.94596891,28.1530392435_201707_358.295
29933_112.945843143,28.1514110139_201908_5.597
29990_112.945672947,28.1513846113_201908_184.609
30070_112.989764968,28.1508468271_201908_272.825
30071_112.989357572,28.1508755934_201908_273.991
30072_112.988953205,28.1509232246_201908_283.37
30074_112.988540836,28.1515199476_201908_340.759
30075_112.988433098,28.151913132_201908_351.891
30077_112.988400075,28.1527283519_201908_359.993
30079_112.988246334,28.151267628_201908_255.679
30082_112.988071843,28.1519245382_201908_187.468
30083_112.988081805,28.1523326285_201908_181.658
30084_112.988084241,28.1527410319_202006_178.621
30085_112.988104459,28.1531474682_202006_199.108
30086_112.987559344,28.1506924759_201908_244.899
30087_112.987163991,28.1505922736_201908_257.497
30088_112.986765073,28.1505047284_201908_256.589
30091_112.985593207,28.1501527463_201908_248.351
30094_112.989558785,28.1500781922_201908_237.27
30098_112.991493004,28.151658094_202006_253.4
30099_112.991113549,28.1515111454_202006_234.274
30100_112.990794555,28.1512591263_202006_222.473
30101_112.990491791,28.1509866019_202006_238.796
30103_112.989462537,28.1507596236_201908_271.057
30108_112.991268812,28.1514655805_202006_59.645
30150_112.998619832,28.1535807238_201908_251.661
30153_112.999032006,28.1536496207_201908_68.867
30216_112.988189763,28.1528691748_201908_181.597
30221_112.988240258,28.1508279585_201707_177.951
30225_112.988112233,28.1503336886_201908_164.472
30234_112.985784711,28.150050346_201908_71.015
30238_112.997958911,28.1516388671_202006_69.047
30249_112.993481722,28.1502535929_202006_78.643
30270_112.999577275,28.1595165699_201908_147.446
30366_112.997826748,28.1532512742_201908_69.313
30371_112.995871503,28.152663787_201908_77.091
30372_112.996102521,28.152801604_201908_253.69
30374_112.996888906,28.1530224275_201908_71.081
30375_112.997278033,28.1531463334_201908_252.755
30376_112.997666532,28.1532722994_201908_247.555
30380_112.993454039,28.1521120563_202006_74.463
30381_112.993849708,28.152213274_202006_255.512
30382_112.994245378,28.1523144918_202006_252.964
30383_112.994641047,28.1524157096_202006_76.118
30387_112.99134082,28.158514772_202006_89.408
30390_112.992566049,28.1585174299_202006_88.998
30391_112.992974458,28.1585183158_202006_91.004
30394_112.993277997,28.1572938271_201908_177.258
30420_112.990456408,28.1506062738_201908_277.403
30423_112.999685343,28.1596100382_201908_329.341
30434_112.97958749,28.1520772244_202005_177.817
30449_112.99092441,28.1586502616_202006_270.277
30562_112.993441842,28.1503994488_201908_259.609
30564_112.992627806,28.1503558394_201908_274.721
30575_112.995185372,28.1509048319_201908_249.887
30576_112.994796703,28.1507793896_201908_250.871
30704_112.994645806,28.1544398623_201908_148.949
30709_112.988817929,28.1577017609_202006_5.245
30712_112.988548023,28.1578157524_202006_184.669
30713_112.988506045,28.1574095048_202006_188.098
30724_112.993811929,28.1551137237_201908_139.869
30725_112.993560992,28.1554354303_201908_150.703
30726_112.993386978,28.1558034806_201908_161.875
30733_112.993375329,28.1569412905_201908_184.603
30787_112.978707368,28.1587203131_201908_348.575
30788_112.978907993,28.1580044016_201908_348.385
30816_112.979643961,28.1552541743_201908_350.488
30817_112.979544151,28.1556501388_201908_346.916
30820_112.979518465,28.1552366789_201908_169.0
30825_112.986977116,28.1583994353_202006_84.681
30829_112.990206401,28.1586488441_202006_273.628
30946_112.957823991,28.1584740731_201908_19.695
30947_112.957682188,28.1580910705_201908_20.075
30955_112.956452839,28.1550673952_201908_25.581
30956_112.956277387,28.154698599_201908_24.609
31196_112.967847476,28.1524846601_201908_176.253
31200_112.967287362,28.1500702942_201908_26.504
31216_112.957680476,28.1585020245_201908_199.808
31217_112.957537984,28.1581192897_201908_200.243
31218_112.957396584,28.1577361415_201908_201.189
31220_112.957120485,28.1569674026_201908_200.809
31221_112.956982468,28.156583026_201908_202.214
31229_112.955778283,28.153558736_201908_189.741
31231_112.955731419,28.152745135_201908_182.268
31425_112.955784737,28.1515990035_201908_181.254
31426_112.955743847,28.151192649_201908_183.532
32620_112.999593734,28.1523072918_201908_250.335
32623_112.99842917,28.1519268396_201908_251.08
32645_112.98534178,28.1583573927_202006_258.338
32646_112.984948008,28.1582500433_202006_254.502
32647_112.984560514,28.1581210184_202006_252.37
32648_112.98417302,28.1579919935_202006_250.529
32652_112.982619099,28.1574878953_202006_250.724
32666_112.97965318,28.1544493946_201908_179.179
33282_112.988595101,28.1592828332_202006_181.318
33299_112.995235487,28.1524923627_202006_72.67
33303_112.993657438,28.1520698141_202006_74.695
33304_112.993262925,28.1519641769_202006_74.994
33305_112.992868413,28.1518585398_202006_70.892
33484_112.966502769,28.156902029_201908_12.174
33485_112.966427843,28.1565005605_201908_12.644
33486_112.966346448,28.1561003514_201908_11.812
33819_112.979743831,28.152427295_201908_4.216
33823_112.979891403,28.1506606493_202005_168.028
34099_112.988016361,28.1584802577_202006_85.353
34101_112.986967356,28.1585104199_202006_265.042
34106_112.990218408,28.1585142841_202006_88.083
34107_112.988112382,28.1544346603_202006_180.873
34109_112.988399764,28.1544035903_201908_3.961
34111_112.988327515,28.1563883973_202006_188.062
34113_112.98820053,28.1555815106_202006_185.78
34114_112.988132908,28.154967988_202006_182.149
34129_112.947483468,28.1593800947_201908_21.859
34130_112.947327961,28.1590025679_201908_21.885
34133_112.946829143,28.1578835368_201908_21.783
34174_112.947304344,28.1594017817_201908_200.831
34175_112.947155192,28.1590216259_201908_203.284
34191_113.009199113,28.1586464392_201908_182.425
34198_113.010687667,28.1588199176_202006_62.18
34223_113.010653574,28.1590478985_202006_99.707
34260_113.004570349,28.1543388884_201908_50.615
34262_113.003906299,28.1538634462_201908_55.189
34263_113.003564334,28.1536401541_201908_58.629
34264_113.003207846,28.1534412768_201908_62.589
34270_113.009064765,28.1589647681_202006_157.92
34271_113.009092687,28.1585613246_202006_183.767
34283_113.009198701,28.1595172235_202006_241.388
34371_113.039865106,28.1558202032_201908_37.1
34372_113.040178092,28.1560825749_201908_41.964
34373_113.040491101,28.1563449191_201908_37.602
34387_113.031852033,28.1595362644_201908_222.976
34388_113.032132943,28.1598306407_201908_211.836
34408_113.04455182,28.1546574213_201908_268.773
34413_113.04174541,28.1545496806_201908_88.096
34416_113.04297064,28.1545517227_201908_88.076
34420_113.042499936,28.159988513_201908_185.913
34436_113.037935024,28.153538153_201908_199.708
34437_113.038101467,28.1539110592_201908_203.874
34455_113.027661096,28.1528693918_201908_179.394
34458_113.027684575,28.1540943467_201908_180.369
34459_113.027708447,28.1548831185_201908_179.309
34462_113.027857704,28.1560939232_201908_194.467
34464_113.028208411,28.1568274903_201908_207.276
34471_113.030340309,28.1586705447_201908_234.027
34472_113.030683543,28.15889188_201908_234.07
34474_113.031370012,28.1593345508_201908_233.514
34637_113.026755323,28.1522424148_201908_82.47
34678_113.01002021,28.1584094054_202006_57.161
34682_113.008100996,28.1569003553_201908_51.014
34683_113.007663601,28.1565665137_201908_50.19
34687_113.006347317,28.1555990703_201908_50.985
34688_113.023442134,28.1516467394_201908_61.233
34693_113.021578406,28.1507903977_201908_240.667
34954_113.01543417,28.159653591_202006_252.31
34994_113.003509645,28.1537510412_201908_239.737
34996_113.004187237,28.1542064981_201908_231.171
34998_113.004847005,28.1546880562_201908_230.431
34999_113.005197533,28.1549405045_201908_230.869
35003_113.006788276,28.1561149869_201908_231.563
35054_113.042313739,28.1588322777_201908_8.745
35080_113.024886223,28.1524468524_201908_345.015
35082_113.02775684,28.153292948_201908_178.51
35083_113.027766416,28.1537012464_201908_180.007
35091_113.028513432,28.1571481595_201908_33.374
35092_113.028773963,28.1574626119_201908_38.268
35094_113.029408085,28.1579729027_201908_49.743
35100_113.031487668,28.1592674166_201908_233.514
35103_113.022352934,28.1510704563_201908_60.114
35104_113.02271491,28.1512595925_201908_61.151
35105_113.023074798,28.1514526692_201908_58.624
35106_113.023383519,28.1517450079_201908_241.265
35117_113.026744541,28.1523266558_201908_82.47
35119_113.028170641,28.1525743409_201908_253.25
35121_113.028971885,28.1528735354_201908_242.14
35124_113.042179817,28.154652755_201908_268.203
35125_113.042588225,28.1546541325_201908_268.436
35126_113.042996633,28.15465551_201908_266.329
35127_113.043405042,28.1546568875_201908_268.131
35129_113.037628816,28.1525488377_201908_193.595
35131_113.037791405,28.1526068267_201908_8.762
35132_113.025250444,28.1513578645_201908_341.377
35133_113.025413831,28.1509842008_201908_158.869
35135_113.025777448,28.1502527779_201908_155.187
35480_113.039473516,28.1545293538_201908_88.169
35523_113.039149381,28.15464987_201908_269.673
35525_113.040323364,28.1546528635_201908_271.509
35527_113.041140147,28.1546493775_201908_268.041
35555_113.048598024,28.1547717637_201908_84.938
35556_113.030019153,28.153365137_201908_53.442
35579_113.023668198,28.1582373518_201908_191.355
35640_113.04166759,28.1578775932_201908_207.263
35642_113.04206811,28.1586179884_201908_199.594
35646_113.041341632,28.1571957709_201908_26.109
36412_113.000208883,28.1590484113_201908_307.954
36413_113.000987278,28.15869734_202006_94.39
36414_113.000587374,28.1587745487_202006_107.439
36420_113.000369297,28.1524505885_202006_78.268
36422_113.001145891,28.1527037661_201908_70.486
36596_113.037656215,28.1511840303_201908_2.37
36597_113.037677992,28.1515918599_201908_3.543
36599_113.037522464,28.1516021107_201908_184.082
36600_113.038789483,28.1549686357_201908_214.705
36604_113.040114165,28.1562162625_201908_232.629
36607_113.037934149,28.1530798758_201908_17.648
36608_113.038086001,28.1534587801_201908_25.832
36958_113.005036558,28.1599283056_202006_278.553
36962_113.003223569,28.1596455616_202006_238.143
36965_113.002152327,28.1590509501_202006_238.126
36966_113.001778771,28.1588886778_202006_249.645
36968_113.002171217,28.1589396779_202006_60.075
36970_113.002886824,28.1593333764_202006_57.659
36971_113.003243991,28.1595314409_202006_56.439
36972_113.00360627,28.1597190517_202006_65.176
37001_113.037984687,28.1546298061_201908_267.65
37002_113.038393031,28.1546372091_201908_269.107
37003_113.036491348,28.154603151_201908_268.708
37004_113.036899696,28.1546103018_201908_268.233
37006_113.030872422,28.1538708853_201908_58.952
37008_113.031622102,28.1541928368_201908_68.013
37011_113.032818622,28.1544363002_201908_81.67
37013_113.03388331,28.1544877713_201908_88.369
37016_113.035108484,28.1544980958_201908_88.326
37022_113.031574855,28.1542674439_201908_247.844
37023_113.031966042,28.1543840119_201908_251.475
37027_113.033882245,28.1545685043_201908_268.319
37029_113.034699016,28.1545771947_201908_268.151
37031_113.035515771,28.1545871287_201908_268.287
37058_113.020589938,28.1500934569_201908_49.117
43774_112.987951622,28.1598590534_201908_18.461
43811_112.986529685,28.1545484937_201707_355.92
43812_112.986004113,28.1554177044_201707_188.369
43815_112.986124326,28.1536632337_201908_256.771
43819_112.986830355,28.1530503315_201908_3.312
43820_112.982324315,28.1514961096_201707_80.779
43832_112.982612534,28.1513140982_201908_8.416
43834_112.98296806,28.15239869_201707_262.949
43838_112.983665297,28.1524185819_201707_197.656
43844_112.984921282,28.1520095297_201908_97.24
43845_112.98458809,28.1522219046_201908_121.017
43847_112.983819982,28.1520460997_201908_35.505
43864_112.969496889,28.1547032994_201908_352.891
43865_112.96928679,28.1549579973_201908_238.953
43868_112.968139672,28.154596025_201908_274.158
43869_112.968388202,28.1534008626_201908_69.636
43874_112.967868397,28.1553956031_201908_334.607
43877_112.967899628,28.1541739964_201908_1.204
43878_112.96790334,28.1537656026_201908_1.205
43879_112.967907053,28.1533572088_201908_0.874
43881_112.968020997,28.1530871637_201908_151.791
43952_112.968002868,28.153950734_201908_180.902
44117_113.017302933,28.1521698543_201908_253.353
44128_113.016064454,28.1508731466_201908_79.196
44130_113.015085342,28.1510475147_201908_164.964
44139_113.014518817,28.1501150263_201908_324.0
510110_112.946182203,28.157832492_201908_282.242
512013_112.998014269,28.1538102253_201908_337.282
512034_112.990271536,28.1567602922_202006_269.465
512036_112.991358205,28.1566774328_201908_121.924
512053_112.990842418,28.1538409323_201908_286.682
512056_112.992030465,28.1535414297_201908_290.341
512057_112.998444053,28.1562356328_201908_8.775
512058_112.998438106,28.1558272655_201908_1.683
512059_112.99536815,28.1563780192_201908_104.808
512135_112.980048797,28.1507282079_201908_348.871
512143_112.9797598,28.1505123086_201908_169.682
512504_112.976929799,28.1589141315_201908_35.155
512507_112.976109837,28.1580165739_201908_56.188
512510_112.976946751,28.1581004498_201908_49.818
512511_112.976607414,28.1578732297_201908_56.824
512512_112.976265405,28.1576500052_201908_56.967
512518_112.977375744,28.1598110898_201908_24.781
512547_112.978745567,28.1514289811_201707_95.86
512593_112.974578276,28.1501569811_201908_50.471
512595_112.97508801,28.150689943_201908_357.375
512616_112.981828581,28.1506141857_201707_1.01
512674_112.993497324,28.1551230002_201908_95.985
512685_112.97819889,28.1594487041_201908_96.551
512690_112.996798098,28.1537638921_201908_250.012
512691_112.996395125,28.1537109211_201908_273.287
512692_112.995986812,28.1537152005_201908_268.766
512699_112.993149982,28.1534564427_201908_272.518
512700_112.992741578,28.1534540431_201908_272.49
512701_112.992692525,28.1537736212_201908_22.318
512913_112.981395979,28.1514371607_201707_269.749
512914_112.981804322,28.1514313302_201707_12.861
512918_112.977551381,28.150766932_201707_43.473
512919_112.977853128,28.1510353266_201707_41.983
512963_112.992327969,28.1526424494_201908_238.188
512964_112.992310035,28.1521579016_201908_3.893
513028_112.999080871,28.1543944547_201908_246.379
513033_112.985675976,28.1599754693_202006_331.045
513154_112.975662395,28.1572643849_201908_56.814
513155_112.97531679,28.1570467696_201908_55.129
513300_112.961548454,28.155032645_201908_270.465
513311_112.964973334,28.1520038991_201707_88.743
513314_112.962102349,28.1503290833_201707_269.844
513338_112.971381314,28.1574969844_201908_327.082
513344_112.970659198,28.1570071796_201908_86.448
513363_112.972380272,28.1595380554_201908_264.588
513365_112.972173571,28.1592368755_201908_266.075
513366_112.972578141,28.1592927507_201908_265.77
513379_112.975239523,28.1592304065_201707_170.746
513382_112.974028142,28.1586589757_201908_175.405
513384_112.97487007,28.1584978033_201409_264.499
513401_112.970398793,28.1596576778_201707_82.304
513402_112.970711649,28.1593951553_201908_133.756
513404_112.971337033,28.1588699674_201908_142.078
513406_112.971822045,28.1582140831_201908_150.451
513418_112.968291812,28.1593713148_201908_335.98
513427_112.967752714,28.1570004027_201707_269.127
513429_112.968540904,28.1571957066_201707_255.673
513430_112.968943339,28.1572651555_201707_260.651
513437_112.970281064,28.1561777323_201908_27.654
513445_112.969938372,28.154598741_201908_92.035
513446_112.96963393,28.1547711407_201908_162.347
513448_112.971396434,28.1566228971_201908_179.489
513449_112.971416021,28.1562149811_201908_180.009
513455_112.970513746,28.1583802027_201707_71.135
513457_112.970967931,28.1579277586_201707_143.908
513463_112.970222408,28.1578628586_201908_0.341
513473_112.972012913,28.1548819911_201908_56.566
513486_112.956320576,28.1521800148_201908_273.453
513514_112.959394027,28.1594366504_201908_352.571
513522_112.959148803,28.157036889_201908_65.213
513527_112.957668457,28.1557239778_201908_38.595
513535_112.963382458,28.1515809481_201908_268.473
513537_112.964299371,28.1516133084_201908_274.733
513736_112.972882133,28.1554438969_201908_48.549
513771_112.957835327,28.1520125043_201908_91.161
513772_112.957427121,28.1520050367_201908_92.436
513784_112.964391402,28.1523880275_201908_341.779
